date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:02	110/110	---M-Z	200	added ('OK')	text/plain	etag:%22481-1696381150;gz%22	https://colorashow.com/robots.txt		(from )
11:59:04	298567/298567	---M-Z	200	added ('OK')	text/html	etag:%22531-1696398012;gz%22	https://colorashow.com/	C:/My%20Web%20Sites/azizWebSite/colorashow.com/index.html	(from )
11:59:04	104484/104484	---M-Z	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202023%2001:18:57%20GMT	https://colorashow.com/wp-includes/css/dist/block-library/style.min.css?ver=6.3.1	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-includes/css/dist/block-library/style.min9b30.css	(from https://colorashow.com/)
11:59:05	6051/6051	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Mar%202023%2002:16:51%20GMT	https://colorashow.com/wp-content/themes/hello-elementor/style.min.css?ver=2.6.1	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/themes/hello-elementor/style.minc141.css	(from https://colorashow.com/)
11:59:05	15672/15672	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Mar%202023%2002:16:51%20GMT	https://colorashow.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.6.1	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/themes/hello-elementor/theme.minc141.css	(from https://colorashow.com/)
11:59:05	1586/1586	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a7b7c4435d781e3fd30a549d2e255cdc%22	https://colorashow.com/feed/	C:/My%20Web%20Sites/azizWebSite/colorashow.com/feed/index.html	(from https://colorashow.com/)
11:59:05	1742/1742	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a7b7c4435d781e3fd30a549d2e255cdc%22	https://colorashow.com/comments/feed/	C:/My%20Web%20Sites/azizWebSite/colorashow.com/comments/feed/index.html	(from https://colorashow.com/)
11:59:05	829/829	---M-Z	200	added ('OK')	application/rss+xml	etag:%22a7b7c4435d781e3fd30a549d2e255cdc%22	https://colorashow.com/sample-page/feed/	C:/My%20Web%20Sites/azizWebSite/colorashow.com/sample-page/feed/index.html	(from https://colorashow.com/)
11:59:06	87331/87331	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Mar%202023%2001:19:45%20GMT	https://colorashow.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.11.4	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/plugins/elementor/assets/css/frontend-lite.minb5ca.css	(from https://colorashow.com/)
11:59:06	1209/1209	---M-Z	200	added ('OK')	text/css	date:Sun,%2019%20Mar%202023%2003:53:34%20GMT	https://colorashow.com/wp-content/uploads/elementor/css/post-5.css?ver=1679198014	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/uploads/elementor/css/post-51245.css	(from https://colorashow.com/)
11:59:06	19363/19363	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Mar%202023%2001:19:45%20GMT	https://colorashow.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from https://colorashow.com/)
11:59:07	16471/16471	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Mar%202023%2001:19:45%20GMT	https://colorashow.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://colorashow.com/)
11:59:07	8777/8777	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Mar%202023%2001:19:45%20GMT	https://colorashow.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.11.2	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min991d.css	(from https://colorashow.com/)
11:59:08	40207/40207	---M-Z	200	added ('OK')	text/css	date:Sun,%2019%20Mar%202023%2003:53:35%20GMT	https://colorashow.com/wp-content/uploads/elementor/css/global.css?ver=1679198015	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/uploads/elementor/css/globalf1fd.css	(from https://colorashow.com/)
11:59:08	114650/114650	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jul%202023%2011:05:12%20GMT	https://colorashow.com/wp-content/uploads/elementor/css/post-2.css?ver=1689246312	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/uploads/elementor/css/post-2fe51.css	(from https://colorashow.com/)
11:59:08	17122/17122	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Apr%202023%2002:24:41%20GMT	https://colorashow.com/wp-content/uploads/elementor/css/post-31.css?ver=1680834281	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/uploads/elementor/css/post-31ddc4.css	(from https://colorashow.com/)
11:59:09	15321/15321	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2020:05:25%20GMT	https://colorashow.com/wp-content/uploads/elementor/css/post-219.css?ver=1680120325	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/uploads/elementor/css/post-219c2d3.css	(from https://colorashow.com/)
11:59:09	57912/57912	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Mar%202023%2001:19:45%20GMT	https://colorashow.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://colorashow.com/)
11:59:09	669/669	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Mar%202023%2001:19:45%20GMT	https://colorashow.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://colorashow.com/)
11:59:10	675/675	---M-Z	200	added ('OK')	text/css	date:Thu,%2016%20Mar%202023%2001:19:45%20GMT	https://colorashow.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://colorashow.com/)
11:59:10	87482/87482	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2001:18:57%20GMT	https://colorashow.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.0	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-includes/js/jquery/jquery.min3088.js	(from https://colorashow.com/)
11:59:10	13577/13577	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2001:18:57%20GMT	https://colorashow.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://colorashow.com/)
11:59:12	798/798	---M-Z	200	added ('OK')	text/xml	date:Thu,%2005%20Oct%202023%2009:59:14%20GMT	https://colorashow.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/azizWebSite/colorashow.com/xmlrpc0db0.php	(from https://colorashow.com/)
11:59:13	2368/2368	---M--	200	added ('OK')	application/json	etag:%22201-1695932977;;;%22	https://colorashow.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcolorashow.com%2F	C:/My%20Web%20Sites/azizWebSite/colorashow.com/wp-json/oembed/1.0/embed7170.json	(from https://colorashow.com/)
